"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LOC100289231",-1.2199807617995,-0.918423706071456,-2.48296430848108,0.0293169538130235,0.534549344760955,-3.80267268275848
"SIRPB1",-1.48170858952382,-1.7570915379005,-2.40512437431795,0.0337536938978273,0.567184222327365,-3.80306867009571
"FAM26E",2.67058658455041,-3.45647296670769,2.26902144624903,0.0431129265905105,0.620806113939821,-3.80470691745268
"SERPIND1",1.3557488348015,-1.68070535145621,2.32940280676704,0.0386883687864393,0.599889707455321,-3.80509545488268
"INSM2",-2.07768992868471,-5.80024373657909,-2.25692002799659,0.0440560906066261,0.625259908025413,-3.80658593753734
"HELLS",1.60818675198527,-4.05926035920828,2.23074035506263,0.0461642732456775,0.635232686217905,-3.80750504720007
"LOC100287834",-1.7666092421694,-4.83652604193746,-2.23880202244761,0.04550505593113,0.631107744223285,-3.80810125653544
"STAB2",-1.7433856825921,-4.52614726692603,-2.23418652468909,0.0458813685659967,0.634118958830266,-3.80823746037203
"LOC728288",1.85751655808356,-1.26793469685327,2.34489018479168,0.0376257026032334,0.593652605390601,-3.81020788097973
"TEKT2",-1.44949256483074,-4.67966651075246,-2.21831451009065,0.0471981871136405,0.640334013468125,-3.81267193395258
"ANXA13",1.21622680786124,-6.49629891328639,2.32006979845828,0.0393426095499743,0.604386375016793,-3.81444434669475
"DBR1",1.91942884870829,-4.22571261650069,2.23903875374317,0.0454858341297149,0.631107744223285,-3.81448674299432
"HSF4",-1.71004174055367,-3.04684075414719,-2.25354580496976,0.0443225625934563,0.627632169300244,-3.8152770848367
"TARS2",1.72678209156423,-3.50699546705999,2.22821269915576,0.0463728295509858,0.636002849930397,-3.81598916784236
"LOC100288644",0.838713372954134,-0.954139905947931,2.44410398348046,0.0314562115274096,0.553888768019582,-3.81709289386358
"C17orf95",1.12590835919853,-2.2791411116863,2.26574116911857,0.043366663519433,0.621638434016984,-3.81898453278535
"SCYL3",1.70120337302213,-0.646024449584132,2.39782563671193,0.0342015586988641,0.57162853892618,-3.8201704025457
"C9orf6",2.05604427213193,-3.68640493916738,2.24046579880102,0.0453701265129898,0.631107744223285,-3.82022612159811
"FOXC2",-1.03541793156377,-0.828709576499372,-2.5046706766022,0.0281842665669056,0.524495063122156,-3.82103299683798
"SLC10A7",-2.19043351897803,-4.83989907250592,-2.24659907334546,0.0448760137897383,0.628917897639857,-3.82118236740131
"RPRD2",0.890248308723744,-1.00744576066044,2.42559708770615,0.0325274902049907,0.561250314473036,-3.82244388839968
